malignant neoplasm	affects	urinary bladder
malignant neoplasm of lateral wall of urinary bladder	requires	treatment
surgery	is a	treatment for malignant neoplasm of lateral wall of urinary bladder
malignant neoplasm of lateral wall of urinary bladder	can cause	hematuria
tumor	can be detected by	cystoscopy
malignant neoplasm of lateral wall of urinary bladder	can be diagnosed by	biopsy
malignant neoplasm of lateral wall of urinary bladder	can lead to	metastasis
metastasis	can spread to	lymph nodes
malignant neoplasm of lateral wall of urinary bladder	is associated with	smoking
malignant neoplasm of lateral wall of urinary bladder	is more common in	older men
malignant neoplasm of lateral wall of urinary bladder	has a higher risk in	individuals exposed to certain chemicals
urinalysis	may show	presence of blood in urine in cases of malignant neoplasm of lateral wall of urinary bladder
malignant neoplasm of lateral wall of urinary bladder	may cause	urinary obstruction
malignant neoplasm of lateral wall of urinary bladder	can be treated with	chemotherapy
gemcitabine	is a	chemotherapy drug used for malignant neoplasm of lateral wall of urinary bladder
malignant neoplasm of lateral wall of urinary bladder	can be treated with	radiation therapy
external beam radiation	is a type of	radiation therapy for malignant neoplasm of lateral wall of urinary bladder
malignant neoplasm of lateral wall of urinary bladder	can be treated with	immunotherapy
pembrolizumab	is an	immunotherapy drug used for malignant neoplasm of lateral wall of urinary bladder
malignant neoplasm of lateral wall of urinary bladder	can be treated with	targeted therapy
erdafitinib	is a	targeted therapy drug used for malignant neoplasm of lateral wall of urinary bladder
malignant neoplasm of lateral wall of urinary bladder	is classified by	TNM staging system
malignant neoplasm of lateral wall of urinary bladder	may require	urinary diversion surgery
urinary diversion surgery	involves	redirecting urine flow
malignant neoplasm of lateral wall of urinary bladder	has a higher risk of	recurrence
malignant neoplasm of lateral wall of urinary bladder	can cause	back pain
malignant neoplasm of lateral wall of urinary bladder	may lead to	weight loss
malignant neoplasm of lateral wall of urinary bladder	may cause	fatigue
malignant neoplasm of lateral wall of urinary bladder	can result in	anemia
malignant neoplasm of lateral wall of urinary bladder	can spread to	nearby organs
malignant neoplasm of lateral wall of urinary bladder	can spread to	bones
malignant neoplasm of lateral wall of urinary bladder	can spread to	liver
malignant neoplasm of lateral wall of urinary bladder	can spread to	lungs
malignant neoplasm of lateral wall of urinary bladder	can spread to	lymph nodes
malignant neoplasm of lateral wall of urinary bladder	can spread to	peritoneum
malignant neoplasm of lateral wall of urinary bladder	can cause	ureteral obstruction
