varicella (hemorrhagic) pneumonitis	is a type of	inflammation
pneumonitis	can cause	respiratory distress
respiratory distress	may lead to	death
varicella (hemorrhagic) pneumonitis	is a complication of	chickenpox
chickenpox	is caused by	varicella-zoster virus
varicella-zoster virus	can be prevented by	vaccination
vaccination	reduces the risk of	chickenpox
chickenpox	can cause	pneumonia
pneumonia	is a risk factor for	varicella (hemorrhagic) pneumonitis
varicella (hemorrhagic) pneumonitis	is treated with	antiviral medications
antiviral medications	inhibit the growth of	viruses
varicella (hemorrhagic) pneumonitis	can result in	hospitalization
hospitalization	increases the risk of	complications
varicella (hemorrhagic) pneumonitis	can lead to	sepsis
sepsis	is a life-threatening	condition
varicella (hemorrhagic) pneumonitis	is more common in	immunocompromised individuals
immunocompromised individuals	have a higher risk of	complications
varicella (hemorrhagic) pneumonitis	may require	intensive care
intensive care	is needed for	severe cases
varicella (hemorrhagic) pneumonitis	can result in	long-term lung damage
long-term lung damage	may cause	respiratory problems
respiratory problems	can lead to	chronic obstructive pulmonary disease
chronic obstructive pulmonary disease	is a chronic	condition
varicella (hemorrhagic) pneumonitis	can be fatal
fatal	means resulting in	death
varicella (hemorrhagic) pneumonitis	is characterized by	lung inflammation
lung inflammation	can be detected using	imaging tests
varicella (hemorrhagic) pneumonitis	is more severe in	adults
adults	are at higher risk of	complications
varicella (hemorrhagic) pneumonitis	may require	oxygen therapy
oxygen therapy	helps improve	oxygen levels
varicella (hemorrhagic) pneumonitis	usually occurs within	1 to 6 days of rash onset
1 to 6 days	is the incubation period of	varicella-zoster virus
varicella (hemorrhagic) pneumonitis	can result in	acute respiratory distress syndrome
acute respiratory distress syndrome	is a severe	lung condition
varicella (hemorrhagic) pneumonitis	is a rare	complication
complication	refers to an	adverse event
varicella (hemorrhagic) pneumonitis	is more common in	older adults
older adults	have a higher risk of	complications
varicella (hemorrhagic) pneumonitis	is associated with	high mortality
high mortality	means a high risk of	death
varicella (hemorrhagic) pneumonitis	can be diagnosed using	laboratory tests
laboratory tests	detect the presence of	viral infection
varicella (hemorrhagic) pneumonitis	is less common in	children
children	have a lower risk of	complications
varicella (hemorrhagic) pneumonitis	is more likely to occur in	immunocompromised individuals
immunocompromised individuals	have a weakened	immune system
varicella (hemorrhagic) pneumonitis	is a severe form of	lung inflammation
lung inflammation	can cause	fluid accumulation
fluid accumulation	leads to	impaired gas exchange
varicella (hemorrhagic) pneumonitis	is a life-threatening	complication
complication	refers to an	undesirable outcome
