other pernicious complications	occur in	malaria
severe anemia	is a complication of	malaria
cerebral malaria	is a complication of	malaria
malaria	can lead to	organ failure
malaria	is caused by	Plasmodium parasite
malaria	is transmitted by	mosquitoes
malaria	is prevented by	antimalarial drugs
chloroquine	is an	antimalarial drug
malaria	can cause	cerebral malaria
malaria	can cause	severe anemia
malaria	can lead to	organ failure
malaria	can result in	death
malaria	is transmitted by	mosquitoes
antimalarial drugs	are used for	malaria treatment
quinine	is an	antimalarial drug
malaria	can cause	jaundice
malaria	can cause	acute respiratory distress syndrome
plasmodium falciparum	is the deadliest	malaria parasite
malaria	can cause	hepatomegaly
malaria	can cause	renal failure
malaria	can cause	hypoglycemia
malaria	can cause	convulsions
malaria	can cause	hypotension
malaria	can cause	lactic acidosis
malaria	can cause	splenomegaly
malaria	can cause	hemoglobinuria
malaria	can cause	thrombocytopenia
malaria	can cause	disseminated intravascular coagulation
malaria	can cause	multi-organ dysfunction syndrome
malaria	can cause	metabolic acidosis
malaria	can cause	retinal damage
malaria	can cause	anemia
malaria	can cause	leukopenia
malaria	can cause	neutropenia
malaria	can cause	myalgia
malaria	can cause	arthralgia
malaria	can cause	vomiting
malaria	can cause	headache
malaria	can cause	fever
malaria	can cause	chills
malaria	can cause	sweating
malaria	can cause	fatigue
malaria	can cause	confusion
malaria	can cause	delirium
malaria	can cause	seizures
malaria	can cause	respiratory distress
malaria	can cause	jaundice
malaria	can cause	hepatosplenomegaly
malaria	can cause	hematuria
malaria	can cause	oliguria
malaria	can cause	edema
malaria	can cause	papilledema
malaria	can cause	coma
malaria	can cause	hypothermia
malaria	can cause	altered consciousness
malaria	can cause	tachycardia
malaria	can cause	icterus
malaria	can cause	hypovolemic shock
malaria	can cause	multiple organ failure
malaria	can cause	jaundice
malaria	can cause	splenic rupture
malaria	can cause	acidosis
malaria	can cause	encephalopathy
malaria	can cause	arrhythmias
malaria	can cause	respiratory failure
malaria	can cause	hyperpyrexia
malaria	can cause	acute renal failure
malaria	can cause	metabolic alkalosis
malaria	can cause	disseminated intravascular coagulation
malaria	can cause	neutrophilia
malaria	can cause	eosinophilia
malaria	can cause	lymphadenopathy
malaria	can cause	shock
malaria	can cause	meningitis
malaria	can cause	miscarriage
malaria	can cause	preterm labor
malaria	can cause	low birth weight
malaria	can cause	placental abruption
malaria	can cause	intrauterine growth restriction
malaria	can cause	fetal distress
malaria	can cause	stillbirth
malaria	can cause	maternal mortality
malaria	can cause	neonatal mortality
malaria	can cause	developmental delay
malaria	can cause	neurologic sequelae
malaria	can cause	cognitive impairment
malaria	can cause	gait disturbances
malaria	can cause	blindness
malaria	can cause	hearing loss
malaria	can cause	muscle weakness
malaria	can cause	paralysis
malaria	can cause	organ damage
malaria	can cause	cognitive decline
malaria	can cause	cardiac complications
malaria	can cause	neurological complications
malaria	can cause	gastrointestinal complications
malaria	can cause	renal complications
malaria	can cause	respiratory complications
malaria	can cause	hematological complications
malaria	can cause	ocular complications
malaria	can cause	dermatological complications
malaria	can cause	skeletal complications
malaria	can cause	endocrine complications
malaria	can cause	genitourinary complications
malaria	can cause	musculoskeletal complications
malaria	can cause	immunological complications
malaria	can cause	hepatic complications
malaria	can cause	metabolic complications
malaria	can cause	psychological complications
malaria	can cause	obstetric complications
malaria	can cause	psychiatric complications
malaria	can cause	anemia
malaria	can lead to	cerebral malaria
malaria	can result in	organ failure
malaria	can cause	severe complications
malaria	can result in	death
cerebral malaria	can cause	seizures
cerebral malaria	can lead to	coma
organ failure	can lead to	death
anemia	can be treated with	iron supplements
anemia	can cause	fatigue
anemia	can result in	pale skin
anemia	can lead to	shortness of breath
anemia	can cause	weakness
severe complications	can require	hospitalization
severe complications	can lead to	long-term health problems
severe complications	can increase	mortality risk
severe complications	can require	intensive care
death	can occur due to	severe complications
