other specified neurosyphilis	is a type of	neurosyphilis
neurosyphilis	is a	syphilis infection
other specified neurosyphilis	can cause	neurological symptoms
cerebrospinal fluid	can be tested for	other specified neurosyphilis
penicillin	is the primary treatment for	other specified neurosyphilis
cognitive impairment	can be a	symptom of other specified neurosyphilis
antibiotics	are used to	treat other specified neurosyphilis
other specified neurosyphilis	can be	congenital
ocular manifestations	can occur in	other specified neurosyphilis
multidrug-resistant neurosyphilis	is a	form of other specified neurosyphilis
neurosyphilis	can lead to	dementia
hiv infection	increases the risk of	other specified neurosyphilis
other specified neurosyphilis	may cause	gummas
testing for other specified neurosyphilis	includes	a blood test
other specified neurosyphilis	can result in	psychosis
hearing loss	can be a	complication of other specified neurosyphilis
vertigo	may be a	symptom of other specified neurosyphilis
spinal cord	can be affected by	other specified neurosyphilis
headache	can be a	symptom of other specified neurosyphilis
serology	is used to	diagnose other specified neurosyphilis
ophthalmic manifestations	can occur in	other specified neurosyphilis
antibiotics	are used to	manage other specified neurosyphilis
lumbar puncture	can be done to	diagnose other specified neurosyphilis
gait disturbances	can be a	symptom of other specified neurosyphilis
other specified neurosyphilis	can affect	the cardiovascular system
antibiotic resistance	is a challenge in treating	other specified neurosyphilis
visual disturbances	can occur in	other specified neurosyphilis
pregnancy	increases the risk of	other specified neurosyphilis
diagnosis of other specified neurosyphilis	involves	a physical exam
other specified neurosyphilis	can lead to	seizures
cognitive decline	can occur as a result of	other specified neurosyphilis
antibiotic therapy	should be started promptly for	other specified neurosyphilis
other specified neurosyphilis	can cause	meningitis
stiff neck	can be a	symptom of other specified neurosyphilis
personality changes	can be an	effect of other specified neurosyphilis
neurosyphilis	can result in	stroke
antimicrobial resistance	can complicate the treatment of	other specified neurosyphilis
overt neurologic involvement	can occur in	other specified neurosyphilis
antibiotic treatment	is necessary for	other specified neurosyphilis
syphilis	can be transmitted through	sexual contact
visual impairment	can be a	complication of other specified neurosyphilis
headache	can be a	symptom of other specified neurosyphilis
gummas	can form in	other specified neurosyphilis
neurologists	specialize in	treating other specified neurosyphilis
vascular involvement	can occur in	other specified neurosyphilis
other specified neurosyphilis	can cause	optic neuritis
neurosyphilis	can lead to	neurologic abnormalities
antibiotic treatment	can prevent	complications of other specified neurosyphilis
neurologic symptoms	can be a	sign of other specified neurosyphilis
neurosyphilis	can affect	the spinal cord
neurosyphilis	can cause	muscle weakness
neurosyphilis	can result in	meningovascular disease
blood tests	can be used to	diagnose other specified neurosyphilis
meningitis	can occur in	other specified neurosyphilis
other specified neurosyphilis	can cause	depression
treatment for other specified neurosyphilis	usually involves	penicillin
cerebral infarction	can occur in	other specified neurosyphilis
antibiotics	are given to	patients with other specified neurosyphilis
hemiparesis	can be a	symptom of other specified neurosyphilis
other specified neurosyphilis	can cause	paresis
neurosyphilis	can affect	the meninges
confusion	can be a	symptom of other specified neurosyphilis
gram-negative diplococcus	is the bacterium that causes	other specified neurosyphilis
neurosyphilis	can lead to	tabes dorsalis
serologic tests	are used to	diagnose other specified neurosyphilis
cerebrospinal fluid analysis	can be used to	diagnose other specified neurosyphilis
decreased tendon reflexes	can be a	sign of other specified neurosyphilis
trouble concentrating	can be a	symptom of other specified neurosyphilis
antibiotics	can be used to	treat other specified neurosyphilis
ataxia	can be a	symptom of other specified neurosyphilis
leg pain	can be a	symptom of other specified neurosyphilis
other specified neurosyphilis	can cause	bladder dysfunction
antibiotic treatment	is effective against	other specified neurosyphilis
delirium	can occur in	other specified neurosyphilis
other specified neurosyphilis	can affect	the peripheral nerves
jargon aphasia	can be a	symptom of other specified neurosyphilis
muscle wasting	can occur in	other specified neurosyphilis
personality changes	can occur in	other specified neurosyphilis
digestive system	can be affected by	other specified neurosyphilis
antibiotic treatment	is necessary for	other specified neurosyphilis
neurosyphilis	can lead to	visual impairment
brain imaging studies	can be done to	diagnose other specified neurosyphilis
immunocompromised individuals	are at higher risk for	other specified neurosyphilis
progressive paralysis	can occur in	other specified neurosyphilis
antibiotics	are used to	manage other specified neurosyphilis
language difficulties	can be a	symptom of other specified neurosyphilis
other specified neurosyphilis	can cause	chronic meningitis
depression	can occur as a result of	other specified neurosyphilis
antibiotic resistance	can complicate the treatment of	other specified neurosyphilis
neurosyphilis	can result in	cognitive decline
antibiotics	can be prescribed for	other specified neurosyphilis
other specified neurosyphilis	can cause	ocular involvement
antibiotic treatment	should be started promptly for	other specified neurosyphilis
neurosyphilis	can result in	cerebrovascular disease
antimicrobial resistance	can complicate the treatment of	other specified neurosyphilis
psychiatric symptoms	can be a	sign of other specified neurosyphilis
ocular manifestations	can occur in	other specified neurosyphilis
painful skin ulcers	can occur in	other specified neurosyphilis
neurosyphilis	can affect	the cardiovascular system
