syphilis of muscle	is a	rare manifestation
syphilis of muscle	can cause	myositis
syphilis of muscle	is treated with	antibiotics
penicillin	is an	antibiotic
penicillin	is used to treat	syphilis
syphilis of muscle	can lead to	muscle weakness
syphilis of muscle	may result in	muscle atrophy
syphilis of muscle	can cause	pain
syphilis of muscle	can lead to	joint stiffness
syphilis of muscle	can cause	fatigue
syphilis of muscle	can result in	muscle inflammation
syphilis of muscle	can cause	difficulty in movement
syphilis of muscle	can lead to	muscle wasting
syphilis of muscle	can cause	muscle tenderness
syphilis of muscle	can result in	muscle cramps
syphilis of muscle	can cause	weakness in the affected muscle
syphilis of muscle	can lead to	muscle contracture
syphilis of muscle	can cause	limited range of motion
syphilis of muscle	can result in	muscle rigidity
syphilis of muscle	can cause	muscle hypertrophy
syphilis of muscle	can lead to	muscle scarring
syphilis of muscle	can cause	muscle imbalance
syphilis of muscle	can result in	muscle fibrosis
syphilis of muscle	can cause	muscle spasm
syphilis of muscle	can lead to	muscle necrosis
syphilis of muscle	can cause	muscle contraction
syphilis of muscle	can result in	muscle strain
syphilis of muscle	can cause	muscle tear
syphilis of muscle	can lead to	muscle rupture
syphilis of muscle	can cause	muscle fatigue
syphilis of muscle	can result in	muscle degeneration
syphilis of muscle	can cause	muscle tremor
syphilis of muscle	can result in	muscle wasting
syphilis of muscle	can cause	muscle stiffness
syphilis of muscle	can lead to	muscle weakness
syphilis of muscle	can cause	muscle atrophy
syphilis of muscle	can result in	muscle pain
syphilis of muscle	can cause	joint stiffness
syphilis of muscle	can lead to	muscle fatigue
syphilis of muscle	can cause	muscle inflammation
syphilis of muscle	can result in	difficulty in movement
syphilis of muscle	can cause	muscle wasting
syphilis of muscle	can lead to	muscle tenderness
syphilis of muscle	can cause	muscle cramps
syphilis of muscle	can result in	weakness in the affected muscle
syphilis of muscle	can cause	muscle contracture
syphilis of muscle	can lead to	limited range of motion
syphilis of muscle	can cause	muscle rigidity
syphilis of muscle	can result in	muscle hypertrophy
syphilis of muscle	can cause	muscle scarring
